ID,Date,Element,Data_Value
USW00023169,2013-09-12,TMAX,289
USW00023169,2015-01-27,TMIN,106
USC00265705,2005-08-13,TMAX,389
USW00023169,2005-10-02,TMAX,344
USW00053123,2005-10-21,TMAX,261
USC00265705,2009-11-07,TMAX,278
USR0000AMUS,2008-03-16,TMIN,-44
USS0015N10S,2015-07-09,TMAX,155
USC00260125,2006-09-14,TMAX,378
USW00023169,2015-01-27,TMAX,167
USR0000NKYL,2007-03-29,TMIN,-17
USR0000AMUS,2013-04-17,TMAX,94
USC00029376,2007-04-17,TMIN,144
USC00029376,2007-04-17,TMAX,256
USW00023169,2005-10-02,TMIN,244
USR0000NKYL,2015-04-30,TMIN,111
USW00023169,2006-10-13,TMAX,261
USW00023169,2008-01-22,TMIN,56
USC00265705,2013-04-16,TMAX,261
USC00260125,2015-01-21,TMAX,150
USW00023169,2005-01-16,TMAX,172
USW00023169,2013-11-14,TMIN,117
USC00260125,2006-07-10,TMAX,406
USR0000NRER,2005-02-24,TMAX,144
USW00023169,2012-04-12,TMAX,206
USR0000AMUS,2012-03-20,TMIN,-50
USS0015N10S,2008-08-13,TMAX,242
USC00028516,2006-05-20,TMIN,244
USC00260125,2005-02-01,TMIN,72
USW00023169,2012-08-24,TMIN,244
USC00028516,2006-05-20,TMAX,394
USS0015N10S,2008-08-13,TMIN,100
USR0000AMUS,2007-12-08,TMIN,-17
USC00264439,2015-02-18,TMIN,67
USW00023169,2014-07-16,TMIN,289
USR0000NRER,2015-03-10,TMIN,56
USC00261371,2010-09-04,TMIN,222
USC00260125,2006-09-03,TMIN,233
USR0000AMUS,2007-11-08,TMAX,244
USC00260125,2006-09-03,TMAX,411
USR0000AMUS,2008-02-10,TMIN,0
USW00053123,2008-06-21,TMIN,244
USW00053123,2008-06-21,TMAX,428
USW00023169,2014-07-31,TMAX,428
USC00261371,2010-09-04,TMAX,450
USC00260125,2013-05-15,TMAX,428
USW00023169,2012-08-24,TMAX,372
USR0000NRER,2013-01-30,TMIN,0
USC00260125,2013-05-15,TMIN,228
USS0015N10S,2011-10-21,TMIN,27
USR0000NRER,2015-11-20,TMAX,206
USR0000NRER,2011-01-23,TMIN,0
USR0000NRER,2009-09-08,TMIN,161
USR0000NRER,2013-01-30,TMAX,139
USC00265705,2007-09-28,TMAX,311
USR0000NKYL,2011-10-31,TMAX,183
USW00053123,2005-02-16,TMAX,172
USW00053123,2005-02-16,TMIN,94
USC00260125,2005-07-27,TMIN,278
USW00023169,2008-12-11,TMAX,183
USR0000NRER,2015-03-10,TMAX,211
USR0000AMUS,2008-01-02,TMIN,-6
USC00264439,2010-06-29,TMIN,250
USR0000NKYL,2011-10-31,TMIN,50
USC00261371,2006-10-24,TMIN,139
USR0000NKYL,2010-08-12,TMAX,278
USR0000NKYL,2008-07-30,TMIN,167
USR0000NKYL,2010-08-12,TMIN,122
USR0000NKYL,2005-03-11,TMIN,22
USC00264439,2010-06-29,TMAX,411
USC00260125,2009-12-07,TMIN,11
USR0000NRER,2015-11-20,TMIN,67
USR0000NRER,2011-08-04,TMIN,250
USC00264439,2013-08-26,TMIN,211
USW00023169,2014-05-15,TMAX,361
USW00053123,2007-10-15,TMAX,267
USR0000AMUS,2005-10-13,TMAX,256
USC00264439,2008-12-17,TMAX,33
USC00260125,2010-01-20,TMIN,22
USR0000NKYL,2005-03-11,TMAX,156
USC00265705,2015-01-24,TMAX,172
USC00265705,2012-08-12,TMAX,444
USC00261371,2006-09-14,TMIN,278
USR0000NRER,2013-01-03,TMAX,100
USR0000NRER,2013-03-20,TMAX,206
USS0015N10S,2010-08-14,TMAX,236
USC00265705,2015-01-24,TMIN,83
USS0015N10S,2011-04-03,TMIN,-23
USC00261371,2006-09-14,TMAX,400
USR0000NKYL,2013-02-20,TMIN,-50
USC00265705,2007-11-13,TMIN,111
USC00260125,2008-02-23,TMIN,56
USR0000NKYL,2013-02-20,TMAX,33
USC00260125,2008-02-23,TMAX,200
USC00265705,2012-08-12,TMIN,294
USW00053123,2013-12-06,TMIN,-38
USR0000NKYL,2006-04-04,TMAX,111
USW00023169,2014-05-15,TMIN,178
USW00053123,2007-10-15,TMIN,122
USC00264439,2012-05-13,TMIN,211
USC00265705,2012-05-13,TMAX,361
USC00265705,2012-05-13,TMIN,206
USW00023169,2014-07-31,TMIN,283
USC00264439,2015-02-18,TMAX,228
USC00260125,2008-02-13,TMAX,217
USR0000NRER,2011-08-04,TMAX,356
USC00260125,2015-01-21,TMIN,56
USC00264439,2012-08-12,TMIN,278
USC00265705,2005-08-13,TMIN,244
USC00260125,2008-02-13,TMIN,50
USS0015N10S,2011-10-21,TMAX,138
USR0000AMUS,2008-02-10,TMAX,172
USC00264439,2012-08-12,TMAX,433
USR0000AMUS,2005-10-13,TMIN,117
USR0000NRER,2011-10-04,TMAX,189
USC00264439,2013-08-26,TMAX,250
USS0015N10S,2013-08-29,TMAX,189
USR0000NRER,2013-03-20,TMIN,139
USR0000NRER,2011-10-04,TMIN,122
USW00023169,2008-12-11,TMIN,56
USC00265705,2010-06-29,TMAX,422
USR0000AMUS,2008-01-02,TMAX,128
USW00023169,2008-03-10,TMAX,222
USC00029376,2005-06-15,TMAX,433
USR0000AMUS,2009-05-14,TMIN,106
USW00053123,2006-06-01,TMAX,383
USC00260125,2005-02-01,TMAX,156
USR0000NKYL,2015-09-21,TMIN,133
USR0000NKYL,2012-03-08,TMAX,100
USR0000NRER,2015-05-26,TMAX,283
USC00260125,2006-12-01,TMIN,22
USW00023169,2008-05-03,TMIN,144
USR0000NKYL,2014-02-14,TMAX,194
USR0000NKYL,2014-02-14,TMIN,61
USC00029376,2005-06-15,TMIN,244
USC00260125,2014-02-23,TMIN,72
USC00264439,2005-09-27,TMAX,339
USW00053123,2006-06-01,TMIN,194
USC00261371,2008-05-16,TMAX,378
USS0015N10S,2012-06-14,TMIN,89
USR0000NKYL,2007-06-21,TMAX,300
USC00261371,2008-05-16,TMIN,150
USC00260125,2014-02-23,TMAX,261
USS0015N10S,2009-12-21,TMIN,-3
USC00260125,2015-03-07,TMAX,217
USW00023169,2008-03-10,TMIN,89
USR0000AMUS,2007-12-08,TMAX,22
USS0015N10S,2014-05-01,TMIN,-9
USR0000NKYL,2010-09-10,TMAX,206
USC00260125,2015-03-07,TMIN,122
USC00260125,2006-12-01,TMAX,139
USW00053123,2012-10-31,TMAX,261
USR0000NKYL,2015-09-21,TMAX,272
USW00023169,2006-05-20,TMIN,250
USW00053123,2011-03-15,TMAX,267
USW00023169,2012-04-12,TMIN,94
USW00053123,2011-03-15,TMIN,133
USW00053123,2012-10-31,TMIN,106
USR0000AMUS,2005-07-02,TMIN,172
USR0000NKYL,2012-03-08,TMIN,0
USR0000NRER,2013-01-03,TMIN,-61
USR0000AMUS,2009-05-14,TMAX,283
USC00264439,2009-07-19,TMAX,422
USW00023169,2010-12-04,TMIN,61
USC00261371,2009-11-28,TMIN,50
USR0000NRER,2014-06-26,TMAX,300
USC00261371,2009-11-28,TMAX,222
USR0000NKYL,2005-12-30,TMIN,-17
USR0000NRER,2015-05-26,TMIN,178
USS0015N10S,2012-06-14,TMAX,217
USC00264439,2015-01-24,TMAX,189
USW00053123,2006-07-03,TMIN,278
USC00261371,2007-04-11,TMIN,128
USW00023169,2011-09-04,TMIN,261
USC00264439,2015-01-24,TMIN,61
USR0000NKYL,2008-07-30,TMAX,294
USW00053123,2013-12-06,TMAX,44
USR0000NKYL,2010-09-10,TMIN,61
USC00261371,2007-03-08,TMIN,50
USR0000NRER,2005-01-04,TMIN,0
USW00023169,2011-09-04,TMAX,406
USS0015N10S,2010-01-06,TMIN,-14
USR0000NRER,2011-01-23,TMAX,122
USR0000AMUS,2007-08-26,TMAX,317
USC00264439,2010-04-04,TMAX,217
USS0015N10S,2014-05-01,TMAX,139
USC00260125,2005-07-27,TMAX,411
USW00023169,2010-10-31,TMIN,106
USC00260125,2010-01-20,TMAX,128
USR0000NKYL,2007-06-21,TMIN,128
USC00265705,2010-06-29,TMIN,261
USW00053123,2006-07-03,TMAX,350
USC00261371,2006-10-24,TMAX,306
USC00261371,2007-04-11,TMAX,261
USR0000AMUS,2005-07-07,TMIN,133
USW00023169,2014-12-04,TMIN,106
USW00023169,2014-12-04,TMAX,150
USC00265705,2007-09-28,TMIN,156
USR0000AMUS,2009-12-11,TMAX,50
USS0015N10S,2010-11-12,TMAX,75
USS0015N10S,2010-11-12,TMIN,-46
USR0000NRER,2005-01-04,TMAX,89
USR0000AMUS,2015-06-19,TMAX,344
USR0000AMUS,2011-04-22,TMAX,206
USR0000AMUS,2011-04-22,TMIN,28
USS0015N10S,2010-01-06,TMAX,88
USC00265705,2010-04-04,TMIN,100
USR0000AMUS,2009-12-11,TMIN,-67
USR0000NRER,2009-09-08,TMAX,339
USC00261371,2007-03-08,TMAX,289
USC00265705,2010-04-04,TMAX,211
USC00264439,2012-05-13,TMAX,367
USC00264439,2010-04-04,TMIN,72
USW00023169,2007-11-08,TMAX,261
USR0000AMUS,2005-11-10,TMAX,200
USR0000NKYL,2011-07-02,TMAX,328
USR0000AMUS,2007-08-26,TMIN,183
USR0000NKYL,2005-05-30,TMAX,206
USR0000NKYL,2014-07-20,TMAX,272
USR0000NRER,2014-04-09,TMAX,294
USC00261371,2011-09-07,TMAX,406
USC00261371,2011-09-07,TMIN,222
USR0000AMUS,2012-06-15,TMIN,128
USC00265705,2010-07-22,TMIN,294
USW00023169,2006-05-26,TMIN,233
USR0000AMUS,2012-06-15,TMAX,300
USR0000NKYL,2008-11-21,TMAX,156
USR0000AMUS,2014-09-01,TMAX,328
USR0000AMUS,2009-10-03,TMIN,111
USW00023169,2015-03-08,TMAX,256
USR0000NKYL,2008-11-21,TMIN,17
USS0015N10S,2010-01-20,TMAX,-4
USS0015N10S,2013-04-29,TMIN,66
USC00265705,2008-06-09,TMAX,356
USS0015N10S,2013-07-14,TMIN,114
USR0000AMUS,2010-12-07,TMIN,28
USR0000AMUS,2014-04-18,TMAX,206
USR0000AMUS,2005-10-08,TMAX,228
USR0000AMUS,2005-10-08,TMIN,106
USS0015N10S,2010-01-20,TMIN,-72
USR0000NKYL,2010-02-27,TMAX,61
USW00023169,2015-03-08,TMIN,100
USR0000AMUS,2010-12-07,TMAX,144
USW00023169,2008-06-04,TMIN,183
USS0015N10S,2013-04-29,TMAX,189
USR0000AMUS,2009-10-03,TMAX,211
USR0000NKYL,2011-05-27,TMIN,83
USR0000NRER,2014-04-09,TMIN,139
USC00265705,2005-01-24,TMIN,72
USC00264439,2005-01-24,TMAX,161
USW00023169,2013-07-14,TMAX,406
USS0015N10S,2011-07-24,TMIN,108
USC00264439,2010-07-22,TMAX,400
USW00023169,2006-05-26,TMAX,367
USR0000NKYL,2014-05-02,TMAX,228
USW00023169,2013-07-14,TMIN,289
USC00264439,2010-07-22,TMIN,289
USC00260125,2008-12-27,TMAX,94
USS0015N10S,2013-07-14,TMAX,218
USR0000NKYL,2011-05-27,TMAX,222
USC00261371,2006-06-07,TMIN,228
USC00261371,2006-06-07,TMAX,433
USC00029376,2006-10-21,TMAX,300
USW00053123,2008-01-18,TMAX,133
USW00023169,2015-03-25,TMAX,250
USR0000AMUS,2012-08-19,TMAX,333
USW00023169,2015-03-25,TMIN,178
USR0000AMUS,2014-09-01,TMIN,200
USC00265705,2010-07-22,TMAX,422
USC00265705,2005-01-24,TMAX,211
USR0000AMUS,2012-08-19,TMIN,161
USC00029376,2006-10-21,TMIN,167
USC00264439,2008-06-09,TMIN,172
USC00264439,2005-08-13,TMIN,239
USC00260125,2010-04-04,TMAX,233
USC00261371,2005-05-21,TMIN,244
USC00261371,2005-05-21,TMAX,411
USC00260125,2007-08-10,TMIN,278
USW00023169,2012-06-14,TMAX,383
USR0000NRER,2013-01-10,TMIN,-22
USW00023169,2012-06-14,TMIN,261
USC00260125,2007-08-10,TMAX,400
USC00265705,2010-10-19,TMIN,161
USR0000AMUS,2014-04-03,TMIN,-33
USC00264439,2006-04-14,TMIN,133
USR0000AMUS,2014-04-03,TMAX,128
USC00260125,2008-08-13,TMAX,389
USR0000NKYL,2006-07-18,TMIN,139
USC00260125,2008-08-13,TMIN,289
USR0000AMUS,2015-02-18,TMAX,194
USC00264439,2006-01-02,TMAX,189
USC00265705,2013-01-06,TMIN,-22
USW00053123,2006-10-14,TMAX,189
USR0000AMUS,2012-07-28,TMIN,172
USC00265705,2010-07-05,TMAX,372
USS0015N10S,2012-05-13,TMIN,64
USC00264439,2006-01-02,TMIN,61
USR0000AMUS,2011-07-28,TMAX,344
USR0000AMUS,2009-04-14,TMAX,172
USW00053123,2010-09-19,TMAX,389
USR0000AMUS,2012-07-28,TMAX,350
USS0015N10S,2014-01-09,TMAX,56
USR0000NRER,2013-01-10,TMAX,106
USW00023169,2015-09-03,TMIN,261
USC00264439,2010-07-05,TMIN,222
USC00264439,2005-01-24,TMIN,72
USR0000AMUS,2014-04-18,TMIN,89
USC00264439,2012-04-12,TMAX,206
USC00264439,2012-04-12,TMIN,89
USR0000AMUS,2011-03-15,TMAX,211
USW00053123,2012-08-16,TMIN,278
USR0000NRER,2005-07-12,TMAX,406
USC00265705,2012-04-12,TMAX,211
USC00265705,2012-04-12,TMIN,100
USC00265705,2008-06-09,TMIN,194
USW00053123,2009-01-27,TMIN,17
USR0000AMUS,2011-03-15,TMIN,50
USW00053123,2009-01-27,TMAX,106
USC00264439,2008-06-09,TMAX,372
USC00264439,2014-01-03,TMIN,28
USW00053123,2012-08-16,TMAX,394
USW00023169,2008-06-04,TMAX,328
USC00264439,2014-01-03,TMAX,161
USS0015N10S,2010-04-04,TMAX,49
USS0015N10S,2010-04-04,TMIN,-31
USC00261371,2007-05-10,TMIN,194
USC00264439,2010-07-05,TMAX,400
USC00261371,2007-05-10,TMAX,406
